Source IP,Destination IP,Source Port,Destination Port,Packet Count,Byte Count
10.0.2.15,10.0.2.2,48575,1900,20,3490
10.0.2.15,10.0.2.255,138,138,2,486
10.0.2.15,10.0.2.3,49796,53,2,162
10.0.2.15,10.0.2.3,50559,53,2,148
10.0.2.15,10.0.2.3,54657,53,2,168
10.0.2.15,10.0.2.3,54795,53,2,142
10.0.2.15,10.0.2.3,57524,53,2,176
10.0.2.15,10.0.2.3,57632,53,2,172
10.0.2.15,10.0.2.3,58511,53,2,168
10.0.2.15,10.0.2.3,58971,53,2,144
10.0.2.15,10.0.2.3,59365,53,2,172
10.0.2.15,10.0.2.3,59686,53,2,174
10.0.2.15,10.0.2.3,59794,53,2,164
10.0.2.15,10.0.2.3,61133,53,2,172
10.0.2.15,10.0.2.3,61870,53,2,154
10.0.2.15,10.0.2.3,62310,53,2,148
10.0.2.15,10.0.2.3,64982,53,2,162
10.0.2.15,192.168.3.90,1095,139,12,966
10.0.2.15,198.104.200.146,2539,5480,5,681
10.0.2.15,198.104.200.146,2539,80,5,681
10.0.2.15,207.46.105.186,2540,5480,6,729
10.0.2.15,207.46.105.186,2540,80,6,729
10.0.2.15,207.46.113.78,2542,443,13,3315
10.0.2.15,207.46.113.78,2542,5443,13,3315
10.0.2.15,207.46.113.78,2544,443,13,3352
10.0.2.15,207.46.113.78,2544,5443,13,3352
10.0.2.15,207.46.125.253,2531,7001,2,124
10.0.2.15,207.46.125.253,2532,7001,2,124
10.0.2.15,207.46.125.253,2535,7001,4,248
10.0.2.15,207.46.125.254,2532,7001,2,124
10.0.2.15,207.46.125.254,2538,7001,4,248
10.0.2.15,207.46.96.145,2529,5480,29,2477
10.0.2.15,207.46.96.145,2529,80,29,2477
10.0.2.15,64.4.35.57,2550,1863,16,1656
10.0.2.15,64.4.35.57,2550,61863,16,1656
10.0.2.15,64.4.9.254,2527,1863,8,580
10.0.2.15,64.4.9.254,2527,61863,8,580
10.0.2.15,65.54.167.27,2548,5480,30,3529
10.0.2.15,65.54.167.27,2548,80,30,3529
10.0.2.15,65.54.186.19,2526,443,21,5800
10.0.2.15,65.54.186.19,2526,5443,21,5800
10.0.2.15,65.54.189.173,2528,1863,43,7341
10.0.2.15,65.54.189.173,2528,61863,43,7341
10.0.2.15,65.55.116.184,2543,5480,5,1052
10.0.2.15,65.55.116.184,2543,80,5,1052
10.0.2.15,65.55.116.184,2549,5480,5,788
10.0.2.15,65.55.116.184,2549,80,5,788
10.0.2.15,65.55.15.244,2536,5480,13,5691
10.0.2.15,65.55.15.244,2536,80,13,5691
10.0.2.15,65.55.15.244,2537,5480,11,5640
10.0.2.15,65.55.15.244,2537,80,11,5640
10.0.2.15,65.55.25.60,2489,5480,1,54
10.0.2.15,65.55.25.60,2489,80,1,54
10.0.2.15,65.55.25.60,2498,443,2,108
10.0.2.15,65.55.25.60,2498,5443,2,108
10.0.2.15,70.37.129.32,2552,5480,10,1372
10.0.2.15,70.37.129.32,2552,80,10,1372
10.0.2.15,70.37.129.34,2551,5480,9,1339
10.0.2.15,70.37.129.34,2551,80,9,1339
10.0.2.15,70.37.129.34,2553,5480,9,1369
10.0.2.15,70.37.129.34,2553,80,9,1369
10.0.2.15,70.37.129.34,2554,5480,9,1268
10.0.2.15,70.37.129.34,2554,80,9,1268
10.0.2.15,91.103.140.2,2545,5480,7,1570
10.0.2.15,91.103.140.2,2545,80,7,1570
10.0.2.15,91.103.140.2,2546,5480,5,802
10.0.2.15,91.103.140.2,2546,80,5,802
10.0.2.15,96.17.8.49,2547,5480,9,989
10.0.2.15,96.17.8.49,2547,80,9,989
10.0.2.2,10.0.2.15,2816,3502,10,2020
10.0.2.2,10.0.2.15,2816,3503,10,2030
10.0.2.3,10.0.2.15,53,49796,2,868
10.0.2.3,10.0.2.15,53,50559,2,562
10.0.2.3,10.0.2.15,53,54657,2,800
10.0.2.3,10.0.2.15,53,54795,2,454
10.0.2.3,10.0.2.15,53,57524,2,794
10.0.2.3,10.0.2.15,53,57632,2,482
10.0.2.3,10.0.2.15,53,58511,2,718
10.0.2.3,10.0.2.15,53,58971,2,426
10.0.2.3,10.0.2.15,53,59365,2,390
10.0.2.3,10.0.2.15,53,59686,2,392
10.0.2.3,10.0.2.15,53,59794,2,722
10.0.2.3,10.0.2.15,53,61133,2,390
10.0.2.3,10.0.2.15,53,61870,2,690
10.0.2.3,10.0.2.15,53,62310,2,320
10.0.2.3,10.0.2.15,53,64982,2,578
109.173.29.34,172.16.255.1,443,10658,7,571
109.173.29.34,172.16.255.1,443,10683,7,541
109.173.29.34,172.16.255.1,443,10690,8,620
109.173.29.34,172.16.255.1,443,10697,7,532
109.227.83.14,172.16.255.1,6536,50983,1,349
109.227.83.224,172.16.255.1,443,10671,7,540
109.227.83.224,172.16.255.1,443,10682,7,556
109.227.83.224,172.16.255.1,443,10689,7,563
109.227.83.224,172.16.255.1,443,10696,7,577
109.229.25.126,172.16.255.1,443,10684,8,611
109.255.178.86,172.16.255.1,443,10659,8,675
109.90.123.126,172.16.255.1,443,10687,8,621
110.67.111.103,172.16.255.1,64228,50983,1,60
